ts	Sample#	A	B	dx	F
254451622.00000	0.00000	-43.75692	-29.44337	15.27346	0.09157
254451640.00000	1.00000	-43.76684	-29.44833	15.41719	0.08699
254451656.00000	2.00000	-43.71970	-29.43593	15.42845	0.08699
254451715.00000	3.00000	-43.75940	-29.46074	15.43485	0.08852
254451732.00000	4.00000	-43.70481	-29.45578	15.42967	0.08699
254451755.00000	5.00000	-43.75443	-29.41112	15.44642	0.08852
254451773.00000	6.00000	-43.77180	-29.45082	15.43698	0.09005
254451790.00000	7.00000	-43.75940	-29.46074	15.27529	0.09005
254451807.00000	8.00000	-43.75443	-29.42849	15.27346	0.09310
254451832.00000	9.00000	-43.72714	-29.41608	15.44216	0.08699
254451861.00000	10.00000	-43.71722	-29.45330	15.28351	0.09005
254451879.00000	11.00000	-43.73955	-29.42104	15.43241	0.08699
254451897.00000	12.00000	-43.75940	-29.46570	15.43820	0.08547
254451915.00000	13.00000	-43.73707	-29.44833	15.43941	0.08394
254451934.00000	14.00000	-43.75443	-29.41112	15.43820	0.08852
254451962.00000	15.00000	-43.73955	-29.43097	15.27803	0.09157
254452001.00000	16.00000	-43.77428	-29.45826	15.44094	0.08852
254452018.00000	17.00000	-43.76684	-29.41856	15.44520	0.08852
254452036.00000	18.00000	-43.77428	-29.43097	15.45647	0.08852
254452053.00000	19.00000	-43.77428	-29.46322	15.44246	0.08699
254452071.00000	20.00000	-43.75195	-29.45578	15.44398	0.09157
254452098.00000	21.00000	-43.76436	-29.44585	15.44185	0.08852
254452126.00000	22.00000	-43.74203	-29.45826	15.26980	0.09310
254452183.00000	23.00000	-43.76684	-29.46322	15.26706	0.09157
254452202.00000	24.00000	-43.76188	-29.46322	15.27072	0.09310
254452220.00000	25.00000	-43.71226	-29.45082	15.44764	0.08699
254452237.00000	26.00000	-43.75940	-29.46818	15.43941	0.08852
254452254.00000	27.00000	-43.75443	-29.46074	15.45190	0.08852
254452271.00000	28.00000	-43.73707	-29.42849	15.44124	0.09005
254452301.00000	29.00000	-43.72962	-29.45578	15.26432	0.08852
254452328.00000	30.00000	-43.76684	-29.42104	15.27437	0.09310
254452346.00000	31.00000	-43.76932	-29.41856	15.29112	0.09005
254452364.00000	32.00000	-43.76932	-29.46570	15.28168	0.09005
254452382.00000	33.00000	-43.74947	-29.45826	15.27803	0.08699
254452400.00000	34.00000	-43.73955	-29.44337	15.45007	0.09157
254452432.00000	35.00000	-43.74699	-29.46074	15.44672	0.09157
254452460.00000	36.00000	-43.75692	-29.45330	15.45951	0.08699
254452477.00000	37.00000	-43.76932	-29.42104	15.44794	0.08089
254452495.00000	38.00000	-43.77180	-29.46818	15.44672	0.09005
254452514.00000	39.00000	-43.76188	-29.47066	15.45220	0.08699
254452532.00000	40.00000	-43.70977	-29.44833	15.45708	0.09005
254452550.00000	41.00000	-43.75692	-29.41608	15.27498	0.09157
254452578.00000	42.00000	-43.76436	-29.44833	15.46804	0.08547
254452607.00000	43.00000	-43.76436	-29.40864	15.27742	0.08852
254452636.00000	44.00000	-43.71474	-29.42104	15.46043	0.09005
254452653.00000	45.00000	-43.77180	-29.42600	15.46621	0.09005
254452670.00000	46.00000	-43.76436	-29.45578	15.27011	0.09157
254452687.00000	47.00000	-43.73955	-29.41112	15.26189	0.09768
254452704.00000	48.00000	-43.77180	-29.43841	15.25823	0.09005
254452731.00000	49.00000	-43.75940	-29.42600	15.26706	0.09157
254452759.00000	50.00000	-43.72962	-29.45578	15.45890	0.08699
254452786.00000	51.00000	-43.76188	-29.41856	15.26006	0.08699
254452804.00000	52.00000	-43.77676	-29.45826	15.25458	0.09310
254452821.00000	53.00000	-43.76188	-29.46074	15.46103	0.08852
254452889.00000	54.00000	-43.73955	-29.44833	15.27011	0.08852
254452906.00000	55.00000	-43.76684	-29.46322	15.26189	0.08852
254452923.00000	56.00000	-43.74451	-29.46570	15.25519	0.09157
