t	F
18.524	3629.050
18.541	3630.728
18.558	3628.516
18.574	3629.202
18.591	3632.407
18.608	3629.736
18.625	3631.415
18.642	3628.287
18.658	3629.050
18.675	3631.415
18.692	3630.347
18.709	3631.491
18.726	3629.050
18.742	3631.262
18.759	3627.982
18.776	3630.423
18.793	3631.949
18.810	3629.126
18.827	3629.813
18.843	3629.279
18.860	3628.897
18.877	3627.677
18.894	3629.050
18.911	3629.660
18.928	3624.014
18.944	3630.652
18.961	3631.568
18.978	3630.271
18.995	3631.491
19.011	3627.600
19.028	3627.142
19.045	3631.110
19.062	3629.279
19.079	3628.516
19.096	3627.677
19.113	3630.194
19.129	3629.279
19.146	3627.677
19.163	3628.363
19.180	3628.745
19.196	3629.736
19.213	3629.813
19.230	3628.668
19.247	3630.576
19.264	3627.142
19.281	3629.508
19.297	3627.295
19.314	3632.559
19.331	3629.050
19.348	3628.974
19.364	3629.508
19.381	3629.508
19.398	3629.508
19.415	3629.431
19.432	3630.499
19.448	3630.423
19.465	3630.347
19.482	50.392
19.499	38.262
19.516	35.362
19.533	36.812
19.549	36.736
19.566	38.643
19.583	37.575
19.600	38.948
19.617	39.482
19.634	37.651
19.651	39.482
19.667	41.313
19.684	40.016
19.701	38.338
19.717	38.719
19.734	40.779
19.751	39.864
19.767	42.153
19.784	41.084
19.801	41.084
19.818	40.398
19.835	42.229
19.852	43.755
19.868	40.932
19.885	40.550
19.902	42.610
19.919	42.076
19.936	42.305
19.952	41.695
19.969	41.619
19.986	42.992
20.003	42.687
20.020	42.839
20.037	42.763
20.054	45.586
20.070	42.839
20.087	45.281
20.104	44.823
20.121	46.349
20.138	43.144
20.154	45.433
20.171	42.076
20.188	44.976
20.205	44.441
20.221	42.839
20.238	44.976
20.255	44.136
20.272	43.144
20.289	43.831
20.305	44.136
20.322	44.213
20.339	44.136
20.356	47.417
20.372	46.807
20.389	47.722
20.406	44.441
20.423	44.441
20.440	44.365
20.457	47.493
20.473	47.646
20.490	43.755
20.507	47.341
20.524	44.899
20.541	46.425
20.557	47.264
20.574	44.060
20.591	44.289
20.608	44.670
20.624	43.221
20.641	44.289
20.658	43.907
20.675	44.747
20.692	45.967
20.709	46.883
20.725	43.526
20.742	44.441
20.759	46.196
20.776	43.679
20.793	43.450
20.809	45.357
20.826	45.204
20.843	44.365
20.860	42.763
20.877	43.068
20.894	44.060
20.911	43.450
20.927	44.976
20.944	42.610
20.961	44.441
20.978	43.221
20.995	44.976
21.011	43.373
21.028	42.534
21.045	45.281
21.062	43.221
21.079	44.136
21.096	44.899
21.113	42.534
21.129	43.297
21.146	44.899
21.163	43.450
21.180	43.602
21.197	44.518
21.213	44.213
21.230	45.815
21.247	44.289
21.264	44.289
21.281	42.687
21.298	44.365
21.314	43.526
21.331	40.856
21.348	43.526
21.365	44.747
21.382	42.610
21.398	43.907
21.415	42.534
21.432	43.221
21.449	42.763
21.466	44.823
21.482	43.755
21.499	44.594
21.516	44.289
21.533	44.518
21.550	42.534
21.567	43.755
21.583	42.458
21.600	44.213
21.617	42.839
21.634	42.153
21.651	44.670
21.668	44.441
21.684	42.687
21.701	43.221
21.718	43.907
21.735	2004.974
21.752	3549.246
21.769	3583.884
21.786	3600.668
21.803	3620.276
21.819	3632.559
21.836	3642.478
21.853	3660.559
21.870	3665.900
21.886	3665.747
21.903	3668.799
21.920	3671.622
21.937	3673.987
21.954	3685.965
21.971	3687.873
21.987	3692.298
22.004	3692.756
22.021	3690.162
22.059	3691.611
22.076	3692.603
22.093	3695.731
22.109	3695.884
22.126	3698.401
22.143	3694.510
22.160	3696.418
22.177	3695.121
22.194	3696.112
22.210	3697.257
22.227	3697.409
22.244	3692.603
22.261	3696.647
22.278	3693.824
22.294	3692.298
22.311	3693.290
22.328	3690.390
22.345	3692.298
22.362	3690.924
22.379	3689.246
22.395	3690.238
22.412	3684.974
22.429	3685.889
22.446	3686.881
22.463	3684.516
22.479	3685.508
22.496	3687.110
22.513	3685.508
22.530	3682.608
22.547	3681.083
22.553	3681.845
22.570	3682.761
22.587	3679.404
22.604	3681.693
22.621	3679.786
22.638	3679.557
22.654	3677.115
22.667	3676.047
22.684	3678.565
22.701	3676.429
22.718	3671.546
22.735	3673.453
22.751	3671.546
22.768	3668.189
22.785	3669.257
22.802	3669.333
22.819	3666.815
22.836	3658.881
22.852	3657.584
22.872	3657.965
22.889	3657.355
22.906	3657.813
22.922	3654.761
22.939	3654.837
22.956	3654.227
22.973	3655.753
22.990	3655.295
23.006	3656.363
23.023	3658.347
23.040	3656.211
23.057	3656.287
23.074	3655.371
23.091	3647.818
23.108	3646.903
23.124	3646.979
23.141	3638.587
23.158	3639.121
23.175	3636.450
23.192	3637.747
23.209	3634.390
23.225	3637.366
23.242	3637.213
23.259	3633.322
23.276	3611.350
23.293	3614.020
23.309	3612.036
23.326	3609.595
23.343	3604.254
23.360	3606.848
23.377	3606.696
23.394	3606.162
23.410	3603.110
23.427	3598.990
23.444	3602.194
23.461	3590.292
23.478	3586.401
23.495	3585.104
23.512	3584.952
