time,signal
0.0,15.151919263383473
0.001,
0.002,
0.003,15.521549967880699
0.005,15.77876012980034
0.007,16.041583147008975
0.008,16.174188220574322
0.009000000000000001,16.307066409151968
0.01,16.43980537697678
0.011,
0.012,16.70314570152228
0.013000000000000001,16.832856831559617
0.016,17.208619119487036
0.018000000000000002,
0.019,17.554384341476723
0.02,17.660751778535403
0.021,17.761889916042993
0.022,
0.023,17.946639425066174
0.024,18.029356365817684
0.026000000000000002,18.17333552821882
0.027,18.233789530303028
0.028,18.286045335646804
0.029,18.329748225404316
0.03,
0.031,18.390193788931818
0.032,18.406349625536343
0.033,18.412782127763716
0.034,18.40926892807176
0.035,18.395618654592603
0.036000000000000004,18.371672186839813
0.037,
0.04,
0.041,18.09431724245674
0.043000000000000003,17.909623196940235
0.044,17.801761778547597
0.045,17.683766046565818
0.047,17.418221196435546
0.048,17.271188866785874
0.049,17.11505470423503
0.05,16.950166380280436
0.051000000000000004,16.776905759349148
0.052000000000000005,16.59568782517417
0.053,16.406959463897984
0.054,16.211198108118232
0.055,16.0089102467135
0.056,
0.057,15.586916407479297
0.058,15.36835351104996
0.06,14.919120348051141
0.061,14.68971798773133
0.062,
0.063,14.224630224603265
0.065,13.755690964540177
0.067,
0.069,12.828465974889811
0.07,12.60294939165462
0.07100000000000001,12.381330299771864
0.073,11.952479037011003
0.075,
0.076,11.354902302414784
0.077,11.170365902133883
0.078,10.994122674899254
0.079,23.61827460788077
0.08,23.460212776752016
0.081,23.311980624908873
0.082,23.174028623198144
0.083,23.04677341615311
0.084,22.930596222780594
0.08600000000000001,22.732814978243887
0.08700000000000001,22.651783765000793
0.088,22.582974037745636
0.089,22.526570814216754
0.09,
0.092,22.433017241764293
0.093,22.427243009832182
0.094,
0.095,22.45370207943248
0.096,22.485748840978527
0.097,22.53014519616951
0.099,
0.1,22.735240817898035
0.101,22.82664373421841
0.10300000000000001,23.04192711201741
0.10400000000000001,23.164987731645535
0.105,23.29772480172867
0.108,23.748932423694725
0.109,
0.111,
0.112,
0.113,24.64331658920319
0.114,24.837930349036316
0.115,25.036240016260535
0.116,
0.117,25.44120076205162
0.12,26.05909747049124
0.121,26.26508094266825
0.122,
0.124,26.873561745401386
0.125,27.071034472253583
0.126,27.264768229044883
0.127,27.45415287563107
0.128,27.638599302320433
0.129,27.81754147861772
0.13,27.990438397441114
0.131,28.156775907343082
0.132,28.31606842578116
0.133,28.467860527028815
0.135,28.74728116294551
0.136,28.874162053775425
0.137,
0.139,29.199738201756578
0.14,29.289079263350214
0.14100000000000001,29.368507265873983
0.14300000000000002,29.497119670367802
0.14400000000000002,29.546147231978626
0.145,29.58494782451748
0.146,29.61353761711641
0.147,29.631969879870862
0.148,29.640334347469985
0.149,29.638756441361043
0.152,29.576137866349033
0.153,29.53672366271843
0.154,29.488492974467096
0.156,29.366872526837234
0.157,29.294193059397287
0.158,29.214114196722115
0.159,
0.16,29.033426703404334
0.161,28.93369887639863
0.162,
0.163,
0.164,28.60258720602588
0.165,28.4832020987521
0.166,28.360145481609642
0.168,28.10506031537671
0.17,27.841431135820514
0.171,
0.17200000000000001,27.57333338797568
0.17300000000000001,27.43885976569662
0.17400000000000002,27.30475355136777
0.176,
0.177,26.909315198909272
0.179,
0.18,26.53338607286349
0.181,26.41428788700716
0.182,26.298898094217144
0.183,26.18754472250815
0.184,26.080532028688154
0.185,25.97813965215118
0.187,25.788207089766264
0.189,25.619467292763684
0.192,
0.193,25.35030393641264
0.194,25.297754573326745
0.196,25.210535907959695
0.197,25.175817289026654
0.198,25.146951501316078
0.199,25.12385288120099
0.2,25.106412872697856
0.203,25.086636795020052
0.20500000000000002,25.098820793055314
0.20600000000000002,25.111904780188542
0.20700000000000002,25.12933893704725
0.20800000000000002,25.15087326944908
0.209,25.17624624806079
0.21,
0.211,
0.213,25.310575415668385
0.214,25.350921695184056
0.215,
0.216,25.437653909518733
0.217,25.48344216081543
0.219,25.578383498129423
0.22,25.626956821653017
